ship_imo_number,co2_real,oof_xgboost,oof_red
9680712,30208.4351,13789.6474609375,30195.64766100092
9681118,2820.7606,2722.29443359375,3284.2281707286274
9681132,5292.1795,5605.81396484375,6613.893190722516
9681144,6467.9173,5924.14208984375,6312.31772597249
9681168,2044.9244,3350.494873046875,3140.518736681004
9681170,3510.6532,3473.31103515625,3503.2949793522566
9681390,9829.9638,11030.2763671875,10110.084172669154
9681431,6279.1709,6458.22314453125,6703.358309673102
9681534,5038.4294,6322.099609375,6439.336541022347
9681687,8672.225,5702.55810546875,7028.031241977799
9681821,3436.6018,2271.217529296875,2515.9565896598124
9681833,2090.784,1013.76953125,1329.715446864042
9681845,5238.3286,6220.25244140625,6224.282492368342
9681857,3922.0094,5590.3564453125,5857.735561508071
9681871,2103.378,1891.9442138671875,2090.839102534892
9681883,395.046,639.5772094726562,517.1795750710025
9681895,3928.211,4676.017578125,4601.733410497989
9681974,4158.6629,5542.181640625,5201.176601909097
9682253,8246.8487,9437.310546875,11125.018040525747
9682265,9372.875,10780.2724609375,10679.11229311455
9682318,3382.3016,3845.800537109375,3658.986360430553
9682344,3069.0635,3041.283935546875,3265.352039915294
9682368,4637.8958,2821.148193359375,2970.4453665893307
9682370,4941.0428,3302.751220703125,3618.8406758409237
9682394,2350.3738,1617.078369140625,1779.3437501600183
9682461,5289.5836,4970.81884765625,4984.368446247711
9682588,8824.4338,9637.7119140625,9363.911213703534
9682863,9275.5673,7264.3125,7481.452675774847
9682954,6217.1652,4940.49462890625,4745.314469750387
9682980,4256.5422,4655.99853515625,4777.177398391297
9682992,4778.0364,4365.7353515625,4402.022913472864
9683025,21540.845,17487.720703125,17461.659852002776
9683049,23570.4807,20050.064453125,20091.37266236845
9683051,18121.4942,17095.96484375,17207.16930276092
9683075,1671.1703,1912.41259765625,2055.2255212158852
9683269,6138.4497,5758.99853515625,5180.372374729381
9683348,1789.0184,1803.316162109375,1853.4641460943585
9683350,4218.5293,3357.374755859375,3460.965775218535
9683362,2521.4404,2859.47119140625,3070.427357883066
9683374,5257.3673,3923.207275390625,4055.3090364120753
9683386,5942.851,5775.05712890625,5929.784559772905
9683398,10699.0083,8014.93603515625,8234.036119146846
9683477,9862.2515,9561.396484375,12147.89740143134
9683491,8869.6573,7116.78857421875,10014.830916121293
9683738,1584.1222,2424.4140625,2727.952070580647
9683867,0.0,197.6066131591797,2083.5948890999043
9683984,4296.555,3490.751953125,3647.92764951794
9684213,2344.4316,2964.10009765625,2850.3219382759107
9684225,1210.5324,1636.7449951171875,1468.604676346391
9684665,22140.288,21504.736328125,23514.043815763645
9684976,7404.3026,8829.5556640625,9284.094532523963
9684990,9999.7628,11427.982421875,11694.664700520523
9685085,4583.09,4480.3330078125,4079.2286001134826
9685425,22215.9343,21539.962890625,20588.55322092768
9685437,23628.379,22392.330078125,25519.22452804167
9685449,27772.2175,26009.69921875,28368.688481079946
9685451,24066.7719,25027.13671875,25782.938686089477
9685463,2511.1232,1539.19189453125,1472.5504499665203
9685475,3040.2948,3041.283935546875,3249.3856437103923
9685487,6549.4526,7060.88623046875,5891.505203498653
