_cid,buques,co2_t,ets_eur,fueleu_eur,ahorro_t,factura_eur,nombre,cuota_pct,cuota_acumulada_pct
6448638,1,6131.19182,310757.6694722608,57463.853322745366,105.08926224150649,368221.52279500617,CENTRUM SHIP MANAGEMENT LTD,0.004222154584913352,97.03604637522292
6229020,3,8148.109399999999,313604.2382820229,54464.42271136401,391.8071618388492,368068.6609933869,FLORENCE SHIPPING & MARINE SERVICES,0.004220401818937952,97.04026677704186
0555099,2,6150.054099999999,309214.3409267579,58087.81950786997,218.0236519254666,367302.16043462785,Lidmar Shipping & Trading Company Ltd,0.00421161285998754,97.04447838990185
0755362,1,3821.20511,324627.6239098848,42569.25868087691,0.0,367196.8825907617,Oresundslinjen Helsingborg AB,0.0042104057080323935,97.04868879560989
6147494,1,5036.64664,322077.3873249767,45045.41272104674,913.6896656500303,367122.80004602345,Cork Maritime Co. Limited,0.004209556252102837,97.052898351862
6213571,1,6385.8349,330144.72108673805,36770.06696666457,0.0,366914.7880534026,POS MARITIME DE SA,0.004207171115075282,97.05710552297707
6410911,1,7450.18584,301231.1917031449,65531.615690252045,255.1406458866059,366762.807393397,Golden Grace Ltd.,0.004205428452572584,97.06131095142965
6285918,1,6218.43772,320580.0258106778,45815.347172714275,1195.8918513455988,366395.3729833921,ZETA ENERGY LIMITED,0.004201215323293554,97.06551216675294
4244508,1,6453.48914,311592.91985738097,54731.60266344367,0.0,366324.5225208246,XIANG T45 SG INTERNATIONAL SHIP LEASE PTE LTD,0.004200402927529444,97.06971256968046
6327080,3,6863.41972,311589.62788122374,54271.262795137576,1534.4325918408397,365860.89067636133,HGF DENIZCILIK LTD STI,0.004195086765391626,97.07390765644585
6506370,3,6297.60168,317727.7115467863,47922.81641661221,33.54333163225694,365650.5279633985,Arel Ship Management BV,0.004192674674196388,97.07810033112005
5796166,1,6099.98172,310443.4866659834,54477.63086574579,0.0,364921.11753172916,MS Michael Braren GmbH & Co. KG,0.00418431100339578,97.08228464212345
6232616,4,6702.5188,306806.16394469794,57974.74299839146,3.5181266307398227,364780.9069430894,Movers Denizcilik Ticaret AS,0.004182703300578233,97.08646734542403
6397212,1,4801.31392,318449.11647619586,46183.7736890187,0.0,364632.89016521454,"Briese Schiffahrts GmbH & Co. KG MS ""Memmertbalje""",0.004181006089310937,97.09064835151334
6373129,3,6666.24132,302202.300032804,62392.4994886927,330.1314263522603,364594.79952149675,Velos Dry Ltd,0.004180569328893473,97.09482892084223
1772981,2,6924.8596,302911.3220346089,61466.80609327768,214.48931099571573,364378.1281278866,Navios Shipmanagement Inc,0.004178084900196838,97.09900700574244
0529971,1,7088.44981,303278.5043827045,60750.444331293475,0.0,364028.94871399796,"TOYO KAIUN CO.,LTD.",0.004174081088979839,97.10318108683141
6237890,1,6311.15022,301906.4511974812,62116.20005440582,12.179333445747856,364022.65125188703,Selmer Bulk Shipowning AS,0.004174008880114036,97.10735509571153
0139657,1,8038.46038,310843.39592956414,53134.004830473925,609.3928070038087,363977.40076003806,Aug Bolten Seacon Shipmanagement GmbH & Co KG,0.004173490022416149,97.11152858573394
5278710,2,5525.89484,313018.178173643,50935.21855244986,0.0,363953.3967260929,Dalomar Shipping SA,0.0041732147839096964,97.11570180051784
6474736,2,6439.40935,303274.44611945207,60010.185984966745,662.6741330269822,363284.6321044188,AKTEA NAVIGATION S.A.,0.004165546498818167,97.11986734701665
6484658,1,3805.2014,320680.47908260964,42053.269047189744,47.83901178928578,362733.7481297994,C-BED II APS,0.00415922987375633,97.1240265768904
6051302,1,4926.73524,304932.1272973793,57801.364251013394,181.94484673341086,362733.4915483927,TREASURE SEA NAVIGATION LIMITED,0.0041592269317057015,97.1281858038221
5175291,2,6870.9354,303393.1798411778,58537.94828480873,598.3357748193749,361931.12812598655,"SEA STAR SHIPS MANAGEMENT CO., LTD.",0.0041500267568300876,97.13233583057894
6212383,1,5422.83808,303129.7265998689,58752.83898639899,323.1587546209329,361882.5655862679,MS 'BF CARP' Schiffahrts GmbH & Co. KG,0.004149469922052556,97.136485300501
6327337,2,6283.14099,301760.9832311898,59640.40910677017,0.0,361401.39233795996,Transship Bulk doo,0.004143952624147044,97.14062925312514
5926086,1,6186.00606,301411.53677631606,59756.65464435462,0.0,361168.19142067066,Sea Tribute Shipmanagement Ltd,0.004141278662248606,97.14477053178739
5893603,1,5166.0735,312197.2629641815,47725.535915187334,0.0,359922.7988793688,Briese Schiffahrts GmbH & Co. KG MS Crux,0.004126998563170308,97.14889753035055
4132695,1,6615.62698,294240.51594683697,64943.21935709214,0.0,359183.7353039291,Briese Schiffahrts GmbH & Co. KG MS Jade,0.004118524206104215,97.15301605455666
1797469,3,6353.71501,315497.68357122235,43548.69886429809,918.4302054751491,359046.3824355204,VERENIGDE TANKREDERIJ SPAIN SAU,0.004116949270889399,97.15713300382755
6345761,1,5902.90647,296261.8181918144,62762.365066432605,0.0,359024.18325824704,Harvester TWO GmbH & Co. KG,0.0041166947274901035,97.16124969855504
6062081,1,6788.70252,298384.71889165527,60589.84829688997,0.0,358974.56718854525,Meridian 11 Limited,0.004116125812575553,97.16536582436761
5512013,1,3733.80378,317202.4005044842,41596.837096060204,0.0,358799.2376005444,"Rova Shipping GmbH & Co. KG MS ""Rova”",0.004114115423236467,97.16947993979085
5787432,2,6182.393679999999,315199.8790896766,43061.24992584577,0.0,358261.12901552237,Sirios Shipmanagement Corp,0.00410794528518428,97.17358788507603
