columna,etiqueta_original_portal
fuel_consumption_per_transport_work_pax_g_pax_n_miles,Fuel consumption per transport work (pax) [g / pax · n miles]
fuel_consumption_per_transport_work_pax_on_laden_voyages_g_pax_n_miles,Fuel consumption per transport work (pax) on laden voyages [g / pax · n miles]
fuel_consumption_per_transport_work_volume_g_m3_n_miles,Fuel consumption per transport work (volume) [g / m³ · n miles]
fuel_consumption_per_transport_work_volume_on_laden_voyages_g_m3_n_miles,Fuel consumption per transport work (volume) on laden voyages [g / m³ · n miles]
fuel_consumptions_assigned_to_cargo_heating_m_tonnes,Fuel consumptions assigned to Cargo heating [m tonnes]
fuel_consumptions_assigned_to_dynamic_positioning_m_tonnes,Fuel consumptions assigned to Dynamic positioning [m tonnes]
fuel_consumptions_assigned_to_on_laden_m_tonnes,Fuel consumptions assigned to On laden [m tonnes]
home_port,Home Port
ice_class,Ice Class
monitoring_methods_a,Monitoring methods A
monitoring_methods_b,Monitoring methods B
monitoring_methods_c,Monitoring methods C
monitoring_methods_d,Monitoring methods D
monitoring_methods_d_2,Monitoring methods D 2
n2o_emissions_assigned_to_freight_transport_m_tonnes,N₂O emissions assigned to Freight transport [m tonnes]
n2o_emissions_assigned_to_on_laden_m_tonnes,N₂O emissions assigned to On laden [m tonnes]
n2o_emissions_assigned_to_passenger_transport_m_tonnes,N₂O emissions assigned to Passenger transport [m tonnes]
n2o_emissions_from_all_voyages_between_ports_under_a_ms_jurisdiction_m_tonnes,N₂O emissions from all voyages between ports under a MS jurisdiction [m tonnes]
n2o_emissions_from_all_voyages_to_ports_under_a_ms_jurisdiction_m_tonnes,N₂O emissions from all voyages to ports under a MS jurisdiction [m tonnes]
n2o_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_jurisdiction_m_tonnes,N₂O emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes]
n2o_emissions_to_be_reported_under_directive_2003_87_ec_m_tonnes,N₂O emissions to be reported under Directive 2003/87/EC [m tonnes]
n2o_emissions_which_occurred_within_ports_under_a_ms_jurisdiction_at_berth_m_tonnes,N₂O emissions which occurred within ports under a MS jurisdiction at berth [m tonnes]
n2o_emissions_which_occurred_within_ports_under_a_ms_jurisdiction_m_tonnes,N₂O emissions which occurred within ports under a MS jurisdiction [m tonnes]
port_of_registry,Port of Registry
report_coverage,"Cobertura del informe: 'Full' (año completo) o 'Partial' (informe parcial Art. 11(2), p.ej. por cambio de compañía a mitad de año) (añadido en la ingesta)"
reporting_period,Reporting Period
reporting_year,"Año del informe (añadido en la ingesta, a partir del fichero de origen)"
ship_imo_number,Ship IMO Number
ship_name,Ship Name
ship_type,Ship type
source_file,Fichero .xlsx de data/raw/ del que procede la fila (añadido en la ingesta)
technical_efficiency,Technical efficiency
through_ice_n_miles,Through ice [n miles] [REDUNDANTE: mismo concepto que 'distance_through_ice_n_miles' bajo un rótulo de grupo distinto según el año; sus valores ya se han volcado en 'distance_through_ice_n_miles' cuando esta estaba vacía — usar la columna canónica para el análisis]
time_spent_at_sea_hours,Time spent at sea [hours]
time_spent_at_sea_through_ice_hours,Time spent at sea through ice [hours]
total_ch4_emissions_m_tonnes,Total CH₄ emissions [m tonnes]
total_co2_emissions_m_tonnes,Total CO₂ emissions [m tonnes]
total_co2eq_emissions_m_tonnes,Total CO₂eq emissions [m tonnes]
total_fuel_benefitting_from_a_derogation_in_accordance_with_part_c_point_1_2_of_annex_ii_to_regulation_eu_2015_757_voluntary_m_tonnes,"Total fuel benefitting from a derogation in accordance with Part C, point 1.2, of Annex II to Regulation (EU) 2015/757 (voluntary) [m tonnes]"
total_fuel_consumption_m_tonnes,Total fuel consumption [m tonnes]
total_n2o_emissions_m_tonnes,Total N₂O emissions [m tonnes]
total_time_spent_at_sea_hours,Total time spent at sea [hours] [REDUNDANTE: mismo concepto que 'time_spent_at_sea_hours' bajo un rótulo de grupo distinto según el año; sus valores ya se han volcado en 'time_spent_at_sea_hours' cuando esta estaba vacía — usar la columna canónica para el análisis]
total_time_spent_at_sea_through_ice_hours,Total time spent at sea through ice [hours] [REDUNDANTE: mismo concepto que 'time_spent_at_sea_through_ice_hours' bajo un rótulo de grupo distinto según el año; sus valores ya se han volcado en 'time_spent_at_sea_through_ice_hours' cuando esta estaba vacía — usar la columna canónica para el análisis]
verifier_accreditation_number,Verifier Accreditation number
verifier_address,Verifier Address
verifier_city,Verifier City
verifier_country,Verifier Country
verifier_nab,Verifier NAB
verifier_name,Verifier Name
verifier_number,Verifier Number
